key,loudness,speechiness,acousticness,instrumentalness,valence,genre,energy,danceability,tempo
9,-16.028,0.0537,0.177,3.54e-05,0.066,rhythmic,0.126,0.569,103.073
4,-8.708,0.0354,0.0229,0.155,0.107,rock,0.871,0.527,120.722
8,-11.267,0.0338,0.0218,0.712,0.963,rock,0.744,0.768,127.036
5,-19.521,0.0455,0.861,0.000219,0.488,pop,0.113,0.687,130.37
4,-10.259,0.0305,0.884,0,0.493,rhythmic,0.304,0.557,96.517
9,-4.228,0.183,0.754,0.0514,0.656,rhythmic,0.92,0.446,203.034
7,-11.72,0.0985,0.0476,3.42e-06,0.466,rock,0.593,0.498,79.47
4,-8.63,0.0403,0.12,3.69e-06,0.849,rhythmic,0.444,0.75,111.919
5,-11.667,0.0328,0.326,0.000199,0.391,pop,0.392,0.192,172.312
7,-7.484,0.0954,0.331,1.51e-06,0.696,rhythmic,0.531,0.598,70.469
3,-7.8,0.24,0.0352,2.37e-05,0.53,rock,0.931,0.615,137.544
2,-12.59,0.0384,0.475,7.32e-05,0.785,rock,0.482,0.684,115.066
6,0.878,0.107,0.00353,0.00604,0.241,rock,0.977,0.235,152.952
4,-8.855,0.0317,0.0205,0.00395,0.702,rock,0.654,0.453,115.0
4,-9.07,0.0453,0.000862,0,0.778,rock,0.831,0.266,175.514
7,-7.999,0.0332,0.887,0,0.585,rock,0.396,0.389,171.86
2,-11.882,0.0295,0.000185,0.309,0.116,rock,0.432,0.538,110.181
4,-16.694,0.035,0.304,0.00185,0.693,rock,0.381,0.697,120.387
5,-6.15,0.106,0.835,1.9e-06,0.324,pop,0.617,0.378,130.65
3,-10.663,0.048,0.0358,1.03e-06,0.584,rhythmic,0.595,0.546,168.354
0,-5.468,0.0445,0.653,0.00124,0.91,rock,0.815,0.57,73.786
11,-9.829,0.0622,0.00557,0.725,0.794,pop,0.611,0.739,98.004
11,-8.147,0.0389,0.295,1.04e-05,0.705,rock,0.83,0.677,114.921
4,-7.768,0.0344,0.00122,0.643,0.463,rock,0.683,0.708,123.602
8,-5.696,0.0344,0.00787,0.513,0.731,rock,0.934,0.4,127.09
4,-8.234,0.029,0.0337,7.91e-06,0.788,pop,0.413,0.54,121.125
5,-12.005,0.0427,0.000397,0.347,0.579,rock,0.885,0.487,135.516
2,-8.894,0.0273,0.0205,0,0.94,rock,0.564,0.625,105.22
5,-5.741,0.109,0.44,0.000269,0.824,rhythmic,0.61,0.4,173.506
10,-13.123,0.055,0.72,0.00314,0.197,pop,0.547,0.629,108.375
3,-3.704,0.0479,0.0495,7.92e-06,0.918,rhythmic,0.867,0.776,138.827
7,-15.73,0.0414,0.735,0.0114,0.375,rock,0.262,0.481,122.883
6,-5.789,0.126,0.00497,0.192,0.49,rock,0.943,0.32,166.524
11,-11.8,0.031,0.684,0.000577,0.184,rock,0.379,0.307,173.728
2,-8.618,0.133,0.0194,0,0.476,pop,0.697,0.613,122.746
2,-7.812,0.0957,0.0209,8.55e-06,0.253,pop,0.721,0.594,128.942
5,-4.446,0.0358,0.00824,0.00317,0.724,pop,0.794,0.774,120.002
4,-7.539,0.044,0.208,0,0.398,rhythmic,0.668,0.429,77.737
8,-9.742,0.0535,0.242,0.000414,0.773,rock,0.712,0.319,78.114
2,-4.583,0.264,0.0094,0.000709,0.0701,hip hop,0.747,0.69,171.367
11,-5.564,0.264,0.0117,0.00017,0.631,pop,0.768,0.83,125.972
11,-5.153,0.0818,0.00325,0.449,0.376,pop,0.948,0.532,141.513
2,-3.491,0.0708,0.00407,0,0.723,rock,0.921,0.316,145.559
2,-7.726,0.0389,0.0612,2.9e-06,0.425,rock,0.747,0.428,124.062
5,-5.597,0.0286,0.289,0.00568,0.704,rock,0.712,0.537,159.871
7,-6.658,0.0377,0.0138,0,0.924,rock,0.936,0.688,120.135
4,-13.165,0.0524,0.197,0,0.735,pop,0.443,0.562,90.279
3,-9.765,0.0404,0.00938,0.782,0.745,rock,0.761,0.506,112.511
9,-5.324,0.0978,0.0555,4.11e-05,0.653,hip hop,0.978,0.746,153.809
0,-11.195,0.0532,0.409,0.00153,0.2,hip hop,0.339,0.721,129.83
5,-9.618,0.0461,0.718,0.0414,0.163,rhythmic,0.39,0.372,140.218
1,-5.572,0.342,0.0192,0,0.625,hip hop,0.696,0.646,92.88
0,-10.872,0.0304,0.198,2.62e-06,0.377,rock,0.338,0.396,133.522
7,-11.766,0.0279,0.197,0.000327,0.625,pop,0.39,0.664,104.57
0,-9.7,0.0579,0.119,0.000122,0.744,rhythmic,0.602,0.805,94.382
9,-11.959,0.0525,0.93,0.000261,0.638,rhythmic,0.311,0.675,97.159
6,-4.791,0.151,0.0644,0.00134,0.414,rock,0.927,0.575,115.77
2,-12.412,0.0919,0.262,0.537,0.53,rock,0.71,0.438,145.928
0,-5.269,0.0752,0.00196,0.891,0.892,pop,0.7,0.806,111.215
9,-20.487,0.0514,0.0356,4.74e-06,0.618,rhythmic,0.439,0.484,120.778
9,-6.676,0.0324,0.721,0,0.815,rock,0.655,0.766,97.771
8,-6.296,0.0623,0.788,3.13e-06,0.845,rhythmic,0.584,0.612,154.704
2,-15.636,0.128,0.829,0,0.862,rhythmic,0.252,0.701,73.627
3,-4.686,0.323,0.614,0,0.715,hip hop,0.834,0.637,87.312
6,-21.048,0.0401,0.938,0.000278,0.307,pop,0.102,0.402,132.248
8,-8.114,0.0343,0.0122,0.544,0.595,rock,0.675,0.243,144.604
10,-7.661,0.0683,0.549,0,0.547,rhythmic,0.831,0.467,137.355
1,-12.221,0.118,0.0559,0.838,0.718,rock,0.611,0.878,107.65
9,-6.881,0.0512,0.266,0,0.874,rock,0.87,0.804,129.656
10,-8.922,0.0688,0.934,0.0404,0.775,rhythmic,0.457,0.671,148.924
10,-8.627,0.171,0.0253,0,0.525,hip hop,0.694,0.663,167.953
10,-8.62,0.0421,0.000244,0.652,0.533,rock,0.715,0.562,90.008
4,-11.451,0.122,0.457,1.72e-05,0.515,rhythmic,0.415,0.527,78.169
7,-2.988,0.0963,0.00611,0,0.843,pop,0.889,0.767,119.93
9,-6.896,0.029,0.0466,0.145,0.506,rock,0.695,0.66,129.972
0,-17.266,0.0376,0.706,0.00136,0.211,pop,0.151,0.532,136.759
11,-6.57,0.0556,0.101,0.00282,0.544,pop,0.788,0.422,140.423
0,-9.206,0.0286,0.487,1.34e-06,0.294,pop,0.449,0.726,130.388
1,-4.485,0.0383,0.025,0.00138,0.6,pop,0.766,0.734,127.986
1,-6.664,0.357,0.00454,0,0.422,hip hop,0.523,0.638,139.913
11,-10.79,0.0562,0.00031,0.478,0.609,rock,0.926,0.574,113.097
1,-12.612,0.04,0.452,8.85e-06,0.591,pop,0.247,0.585,127.15
7,-9.129,0.026,0.0626,9.22e-05,0.317,rock,0.505,0.36,74.807
11,-5.497,0.0387,5.69e-05,0.000192,0.36,rock,0.867,0.415,157.902
4,-7.13,0.0341,0.202,0,0.937,rock,0.638,0.533,156.663
5,-7.596,0.0323,0.186,0.000263,0.405,rock,0.532,0.548,85.03
6,-5.443,0.338,0.0463,0,0.531,pop,0.961,0.594,113.126
6,-9.518,0.189,0.0865,0.000427,0.701,rock,0.824,0.432,122.299
1,-5.603,0.283,0.0778,0,0.584,pop,0.677,0.884,101.868
7,-9.129,0.0444,0.481,0.00021,0.967,rhythmic,0.873,0.557,166.189
1,-5.787,0.047,0.905,0,0.682,rhythmic,0.911,0.644,112.681
1,-12.457,0.161,0.0973,0,0.739,rhythmic,0.671,0.589,109.195
9,-6.367,0.0444,0.0554,0.18,0.684,pop,0.834,0.39,157.077
11,-12.595,0.0286,0.15,0.308,0.171,rock,0.366,0.472,127.167
10,-15.411,0.0319,0.692,0.00027,0.0972,rock,0.201,0.396,144.712
8,-6.698,0.0401,0.0531,0.314,0.556,rock,0.64,0.703,94.077
11,-7.227,0.0281,0.00239,0.000121,0.285,rock,0.661,0.429,173.372
9,-8.469,0.0894,0.000606,0.846,0.281,rock,0.831,0.166,167.518
4,-17.112,0.0277,0.0118,0.0123,0.517,pop,0.323,0.528,113.59
9,-20.436,0.0378,0.946,0.000782,0.169,pop,0.0566,0.473,120.168
7,-10.743,0.0387,0.608,0,0.694,rhythmic,0.256,0.671,115.871
1,-8.176,0.0365,0.00401,0.86,0.54,rock,0.727,0.616,92.259
9,-4.639,0.253,0.47,0,0.782,hip hop,0.818,0.889,96.063
10,-7.579,0.374,0.409,2.04e-06,0.828,rhythmic,0.555,0.765,77.848
8,-10.995,0.0479,0.807,7.54e-05,0.306,pop,0.229,0.428,104.56
9,-12.74,0.0283,0.477,0.00547,0.787,pop,0.439,0.696,104.18
7,-6.693,0.23,0.0123,0.00402,0.101,pop,0.991,0.664,152.565
4,-6.941,0.0306,0.673,0,0.647,rock,0.605,0.432,109.227
